patentnumber,title,abstract
9547697,"Aggregating interactions for content items","In one aspect, a method is provided, including the following method operations: receiving a request to generate a first post data item for display at a first location, the first post data item including a reference to a content item located at a second location; determining, based on the reference to the content item, a content identifier associated with the content item; associating the content identifier with the post data item; retrieving one or more post data items based on the content identifier and displaying the one or more post data items at the second location, the one or more post data items including the first post data item."
9552092,"Display device including touch sensor and manufacturing method thereof","The present disclosure relates to a display device including a touch sensor and a manufacturing method thereof, and more particularly, to a display device including a touch sensor using a piezoelectric material and a manufacturing method thereof. The display device includes a first substrate, wherein a plurality of thin film transistors are disposed on the first substrate; a second substrate disposed facing the first substrate; a plurality of piezoelectric elements disposed on the second substrate; and a first sensing electrode overlapping the piezoelectric elements, the first sensing electrode being configured to transfer a sensing voltage generated as a result of pressure applied to the piezoelectric elements."
9553584,"Level-shifting latch","A level-shifting latch circuit for coupling a first circuit in a first voltage domain with a second circuit in a second voltage domain, includes an input node to receive an input signal provided by the first circuit, and an output node to output a level-shifted signal, corresponding with the input signal. The level-shifting latch circuit also includes a first latch, having a first node and a second node, for storing the input signal in the first voltage domain, and a second latch, having a third node and a fourth node, for storing the input signal in the second voltage domain. In addition, the level-shifting circuit also includes a first switching element which provides a path to transfer a low voltage at the first node to the third node, and a second switching element which provides a path to transfer a low voltage at the second node to the fourth node."
9554185,"Supporting multiple attention-based, user-interaction modes","The present invention monitors a user's activities to determine how much attention he is paying to one or more devices. Based on the information gathered about the user's current &#x201c;attention profile,&#x201d; a &#x201c;user-interaction parameter&#x201d; is set that reflects where the user's attention is focused and, ideally, how much of his attention is given to each device. Then, based on the user-interaction parameter, the user interface of at least one of the user's devices is configured to optimize the user's interactions, given the amount of attention he is currently giving to this user interface. If the user is giving the majority of his attention to the television, for example, then the user interface of a companion device can be configured to emphasize the types of interactions available to a user who is not actively watching the companion device."
9557162,"Sensor-based mobile search, related methods and systems","A smart phone senses audio, imagery, and/or other stimulus from a user's environment, and acts autonomously to fulfill inferred or anticipated user desires. In one aspect, the detailed technology concerns phone-based cognition of a scene viewed by the phone's camera. The image processing tasks applied to the scene can be selected from among various alternatives by reference to resource costs, resource constraints, other stimulus information (e.g., audio), task substitutability, etc. The phone can apply more or less resources to an image processing task depending on how successfully the task is proceeding, or based on the user's apparent interest in the task. In some arrangements, data may be referred to the cloud for analysis, or for gleaning. Cognition, and identification of appropriate device response(s), can be aided by collateral information, such as context. A great number of other features and arrangements are also detailed."
9557726,"Ladder program display device and ladder program display method","A ladder program display device includes: a display-direction determining unit that determines whether a ladder program is caused to be displayed in a display direction that is vertically displayed writing or horizontally displayed writing; and a display unit that displays the ladder program vertically or horizontally in accordance with an instruction from the display-direction determining unit, wherein the display-direction determining unit compares how a ladder program is displayed in a case of vertically displayed writing and how a ladder program is displayed in a case of horizontally displayed writing for each orientation of the display unit that is a portrait-oriented state or a landscape-oriented state, selects a display direction in accordance with the orientation based on a comparison result, and instructs the display unit to display a ladder program in selected display direction."
9557791,"Computer device and method for converting working mode of universal serial bus connector of the computer device","A computer device and a method for converting a working mode of a universal serial bus (USB) connector of the computer device. The computer device comprises a USB connector, a power interruption unit, a first switch unit, a south bridge chip, a reading unit, a control unit, and a charging control unit. The USB connector is linked to an external USB device. When a fast charging instruction is received, the power interruption unit interrupts the power supply of the USB connector; the first switch unit performs switching, so that the USB connector works in a fast charging mode. When the control unit receives a common charging instruction, the power interruption unit interrupts the power supply of the USB connector; the first switch unit performs switching, so that the USB connector works in a common charging mode, and data transmission can be performed."
9558012,"System boot with external media","Various aspects of the present disclosure provide for a system that is able to boot from a variety of media that can be connected to the system, including SPI NOR and SPI NAND memory, universal serial bus (&#x201c;USB&#x201d;) devices, and devices attached via PCIe and Ethernet interfaces. When the system is powered on, the system processor is held in a reset mode, while a microcontroller in the system identifies an external device to be booted, and then copies a portion of boot code from the external device to an on-chip memory. The microcontroller can then direct the reset vector to the boot code in the on-chip memory and brings the system processor out of reset. The system processor can execute the boot code in-place on the on-chip memory, which initiates the system memory and the second stage boot loader."
9558685,"Wall mounting-type flexible display","The present invention relates to a wall mounting-type flexible display, which can be mounted on a wall, the display comprising: a display panel having a bending portion having a bent peripheral area; a support bar for supporting the display panel by being in contact with the bending portion; and a bracket coupled to the support bar and fixed to a wall surface, wherein the bending portion of the display panel comprises at least two curved surfaces having at least one inflection point, and the first and second curved surfaces, which are adjacent to each other about the inflection point, may have different curvatures. The first curved surface is directly adjacent to the end portion of the display panel, the second curved surface is adjacent to the first curved surface while being spaced from the end portion of the display panel, and the curvature of the first curved surface may be larger than the curvature of the second curved surface."
9563369,"Fine-grained bandwidth provisioning in a memory controller","Systems and methods for applying a fine-grained QoS logic are provided. The system may include a memory controller, the memory controller configured to receive memory access requests from a plurality of masters via a bus fabric. The memory controller determines the priority class of each of the plurality of masters, and further determines the amount of memory data bus bandwidth consumed by each master on the memory data bus. Based on the priority class assigned to each of the masters and the amount of memory data bus bandwidth consumed by each master, the memory controller applies a fine-grained QoS logic to compute a schedule for the memory requests. Based on this schedule, the memory controller converts the memory requests to memory commands, sends the memory commands to a memory device via a memory command bus, and receives a response from the memory device via a memory data bus."
9563533,"Maintaining coherent synchronization between data streams on detection of overflow","Trace data streams are generated for tracing target processor activity. Various trace data streams are synchronized using markers called sync points. The sync points provide a unique identifier field and a context to the data that will follow it. All trace data streams may generate a sync point with this unique identifier. These unique identifiers allow synchronization between multiple trace data streams. When multiple trace data streams are on, it is possible that the data input rate may be higher than the data output rate. If synchronization is lost in such a case, there must be a scheme to resynchronize the streams. This invention is a technique for this needed resynchronization."
9563647,"Method and system for generating a state profile report","Disclosed are systems and methods relating to profiling software and configuration information associated with one or more entities. In various implementations, software and configuration information associated with one or more entities may be retrieved. The retrieved software and configuration information may provide state information associated with the one or more entities. The retrieved information may be processed to identify one or more changes in the software and configuration information that is associated with the one or more entities. A report may be generated based on the retrieved information. The report may display identified changes in a state for at least one entity based on the changes in the software and configuration information that were identified during the processing."
9563674,"Data exploration user interface","A data exploration user interface includes a selection area with selectable representations of queryable fields of a data source and a visualization area where query results are displayed as data visualizations. Queries are generated by dragging fields from the selectable area to the visualization area of the user interface. A tree structure of data visualizations may be created by dragging data points out of a displayed visualization and applying additional fields to create a new query and resulting visualization. The tree structure is graphically represented with path indicators that provide historical context for each new data visualization within the visualization are of the user interface."
9569548,"Systems and methods for highlighting search results","A system highlights search terms in documents distributed over a network. The system generates a search query that includes a search term and, in response to the search query, receives a list of one or more references to documents in the network. The system receives selection of one of the references and retrieves a document that corresponds to the selected reference. The system then highlights the search term in the retrieved document."
9571579,"Information management of data associated with multiple cloud services","A method and system for providing information management of data from hosted services receives information management policies for a hosted account of a hosted service, requests data associated with the hosted account from the hosted service, receives data associated with the hosted account from the hosted service, and provides a preview version of the received data to a computing device. In some examples, the system indexes the received data to associate the received data with a user of an information management system, and/or provides index information related to the received data to the computing device."
9571714,"Apparatus and method for automatically activating a camera application based on detecting an intent to capture a photograph or a video","A method of automatically activating a camera application implemented in a mobile device in locked mode starts with the processor receiving a first signal from an accelerometer. The device's processor activates the camera application when the processor determines that the mobile device has remained in a stationary portrait or landscape position for a period of time based on the first signal. Activating the camera application includes signaling by the processor to the display device to display a camera screen from a locked screen. The processor may also receive a second signal from a proximity sensor that detects presence of a nearby object to the mobile device. When the processor determines that there is presence of the nearby object to the mobile device based on the second signal, the mobile device remains in locked mode and the processor does not activate the camera application."
9575654,"Touch device and control method thereof","A touch device and a control method thereof are provided. In the control method, a sensing signal generated by a sensor is received. When an operating object is present, a touch screen is configured for touchable regions and untouchable regions, wherein the untouchable regions cannot generate a response through a touch by the operating object. A gesture is received on the untouchable regions of the touch screen, a processor determines whether the gesture is conformed to a default gesture setting, and the processor decides whether or not to adjust part or all of the untouchable regions to the touchable regions according to the determining result. Accordingly, the touch device and the control method thereof of the embodiments of the invention can prevent or lower the occurrence of an accidental touch by a user and enhance the operating convenience of the user."
9575721,"Head mounted display and method of controlling therefor","A method of controlling a head mounted display (HMD) according to one embodiment of the present specification includes performing a first operation, receiving a first voice input through an audio input unit, processing the first voice input with respect to the first operation while a first contact is detected through a first sensor positioned at a nose pad of the HMD, detecting the first contact being released through the first sensor positioned at a nose pad of the HMD, receiving a second voice input through the audio input unit while the first contact is released, and performing a second operation according to the received second voice input."
9575944,"Directional navigation of page content","A system and method for displaying and navigating through structured content, such as a webpage, is provided. The content includes focusable elements, at least one of which is a non-enableable element that is normally not capable of gaining focus when the content is displayed in a browser or other viewing application. Navigation of the content by moving focus from one element to another includes moving the focus to the focusable, non-enableable element. The non-enableable element is defined as a focusable element by an attribute. Focusable elements may also be defined with attributes for capturing directional navigation instructions and calling event handling functions in response to detected directional navigation instructions."
9576085,"Selective importance sampling","Selective importance sampling includes: first phase importance sampling of a plurality of data points to form a first subset of data points; determining a center of gravity of the first subset; determining, based upon the center of gravity, an orthogonal hyperplane; and a second phase importance sampling comprising: determining, for each point in the first subset, whether each point is above the hyperplane; and forming a second subset of data points, wherein the second subset is a subset of the first subset and wherein the second subset excludes each point of the first subset that has been determined to be above the hyperplane. The second subset also excludes all points within an ellipse below the hyperplane. Critical radial distances are determined from binary search or projection of first phase samples onto center of gravity direction as well as the maximal radius of the first subset around the center of gravity."
9582088,Microscope,"A touch screen (<b>60</b>) disposed on a display surface of a display means (<b>58</b>) is used as an inputting means so that a variety of actions of a microscope can be controlled with sufficient ease and precision."
9582132,"System for interactive help","Method and system for the provision of interactive assistance over a network for a user to complete a desired computing task on a user computing device. Task-guides are generated on task-guide generators operating on author user devices. Each task-guide includes a sequence of processes, each process including an action for the user to perform in association with a graphical user interface (GUI) object displayed on the user computing device. The process obtains information about the GUI object using at least one data-gathering technique. An administrator operating on a server computing device receives a task-assistance request from a task-guide executor operating on an end user device, and sends back at least one suitable task-guide over the network. The task-guide executor executes the task-guide on the end user device, displaying a sequence of instructions for the end user to follow in order to complete the desired computing task."
9582260,"Method and apparatus for remote purchase, installation, and licensing of software","A method and apparatus for remote purchase, installation, and licensing of software is disclosed. The method comprising receiving, from a mobile device, a request for a software application; determining compatibility between at least one registered device and the software application; providing, to the mobile device, a list comprising compatible registered devices; placing the software application on an installation queue for the selected registered device in response to an input; and downloading the queued software application to the registered device."
9582822,"System and method for digital delivery of reveal videos for online gifting","An electronic gift (e-gift) giving system includes a first computing device that receives from a second computing device of a giver, e-gift information associated with an e-gift to be given to a recipient and reveal video information from the second computing device. From this information, the first computing device generates an interactive reveal video that, when displayed on a recipient computing device of the recipient, receives one or more user interface input actions and generates one or more tactile feedback actions to be performed by the second computing device in response to the user interface input action."
9588619,"Performance monitoring and correction in a touch-sensitive apparatus","Touch sensitivity is enabled using a touch system that comprises a panel configured to conduct signals, e.g. by TIR, along detection lines across a touch surface. A signal processor operates in a sequence of repetitions to: generate data samples that represent detected signal energy on the actual detection lines; generate based on the data samples, an interpolated sinogram comprising interpolation samples that represent fictitious detection lines which have a desired location on the touch surface; and reconstruct a signal interaction pattern for the touch surface based on the interpolated sinogram. The signal processor implements an error correction to counteract the influence of a change in validity status for a data sample among the data samples, by identifying interpolation samples affected by the change in validity status, and by setting each identified interpolation sample to a value that maintains a relative signal transmission of the fictitious detection line from a former repetition."
9588654,"Integrated learning using multiple devices","An access code can be generated by a primary device and interpreted by a secondary device for the purpose of presenting, on the secondary device, additional content related to an application running on the primary device. The access code can be a two dimensional graphic or QR code that can be easily captured by a camera unit of the secondary device. Once captured, additional content related to the running application can be identified and displayed on the secondary device."
9589130,"Application trust-listing security service","Provided are techniques for controlling access to computing resources comprising generating a first fingerprint corresponding to a first executable file; storing the fingerprint in a non-transitory computer-readable storage medium; receiving a request to execute a second executable file on a computing system; generating a second fingerprint corresponding to the second executable file; determining whether or not the first fingerprint matches the second fingerprint; and, in response to determining that the first and second fingerprints match, executing the executable file on the computing system; and, in response to determining that the first and second fingerprints do not match, preventing the executable file from executing on the computing system."
9589284,"Network advertising system","Systems and methods for transmitting content to a client via a communication network are provided. According to one embodiment, an insertion server running within a firewall device of a network observes a content request of an application protocol by monitoring or proxying transport communication protocol connections established through the firewall device. The content request is (i) originated by a client device coupled to the network, (ii) directed to a destination device coupled to the network and (iii) associated with one of the multiple transport communication protocol connections. Responsive to observing the content request, the insertion server determines whether one or more conditions are satisfied. If so, the content request is negated by causing a canceling message of the transport communication protocol to be sent to the destination device and unsolicited content is selected and delivered to the client device via the application protocol."
9591346,"Content delivery system with content sharing mechanism and method of operation thereof","A method of operation of a content delivery system includes: detecting a person's presence for identifying a portable device; determining an audience type based on the person's presence for determining a content type presentable on a public device; and distributing a display content based on the audience type for displaying on the portable device, the public device, or a combination thereof."
9594404,"Body-wearable electronic device","A body-wearable electronic device according to one of various embodiments of the present disclosure includes: a wearing member which can be worn on the user's body; and at least one main unit configured to be attached to and detached from the wearing member, and can be variously implemented according to embodiments."
9597584,"Determining real-world effects from games","A game system in which virtual representations of real-world, physical objects may be designed or modified by game players within a virtual game universe. Real-world physical interactions of the virtual objects may be simulated by a game engine during game play within the game universe. Performance data may be collected for the virtual objects that simulates real-world performance data for corresponding physical objects. The performance data for the virtual objects may, for example, be used in evaluating performance of modifications to a physical object, or for comparing performance of two or more physical objects. Production or manufacturing decisions for respective physical objects may be made at least in part based on the performance data collected for the virtual representations of the objects."
9598049,"Hands free access system for a vehicle closure","A method of operating a hands free access system for a vehicle includes authenticating a user of the vehicle, determining whether the authenticated user is burdened, and selectively opening a vehicle closure in response to the determination. A hands free access system for a vehicle includes a user recognition system operable to authenticate a user of the vehicle and a control system operable to determine whether the authenticated user is burdened and to operate the vehicle closure in response to the determination."
9600381,"Scalable transcoding for streaming audio","Systems and techniques for capturing audio and delivering the audio in digital streaming media formats are disclosed. Several aspects of the systems and techniques operate in a cloud computing environment where computational power is allocated, utilized, and paid for entirely on demand. The systems and techniques enable a call to be made directly from a virtual machine out to a Public Switch Telephone Network (PSTN) via a common Session Interface Protocol (SIP) to PSTN Breakout service, and the audio to be delivered onward to one or more Content Delivery Network (CDN). An audio call capture interface is also provided to initiate and manage the digital streaming media formats."
9600492,"Data processing performance enhancement in a distributed file system","Systems and methods of data processing performance enhancement are disclosed. One embodiment includes, invoking operating system calls to optimize cache management by an I/O component; wherein, the operating system calls are invoked to perform one or more of; proactive triggering of readaheads for sequential read requests of a disk; purging data out of buffer cache after writing to the disk or performing sequential reads from the desk; and/or eliminating a delay between when a write is performed and when written data from the write is flushed to the disk from the buffer cache."
9600994,"Portable monitoring devices and methods of operating the same","In one aspect of the disclosed implementations, a device includes one or more motion sensors for sensing motion of the device and providing activity data indicative of the sensed motion. The device also includes one or more processors for monitoring the activity data, and receiving or generating annotation data for annotating the activity data with one or more markers or indicators to define one or more characteristics of an activity session. The device also includes one or more feedback devices for providing feedback, a notice, or an indication to a user based on the monitoring. The device further includes a portable housing that encloses at least portions of the motion sensors, the processors and the feedback devices."
9607586,"Asymmetric circuitry","Techniques are disclosed relating to asymmetric circuits. In some embodiments, a storage element is configured to maintain a first input value as an input to an asymmetric circuit during a time interval. For example, in one embodiment, the time interval may correspond to a frame of video data and the storage element may be configured to store a filter coefficient for the frame of video data. In some embodiments, the storage element may be configured to store the value as a constant for multiple operations by the asymmetric circuit. In some embodiments, the asymmetric circuit is configured to generate a plurality of output values based on the first input value and respective ones of a set of second input values. In some embodiments, the asymmetric circuit is leakage power asymmetric and/or critical path asymmetric. This may increase performance and/or reduce power consumption."
9609166,"Transporting apparatus and printing apparatus including the same","Transporting apparatus includes a transporting section configured to transport continuous-form paper, an imaging apparatus including a light applying section for emitting light toward the continuous-form paper, and an imaging element for taking images of continuous-form paper based on the light from the light applying section, a transportation amount computing section configured to compute the transportation amount of the continuous-form paper based on the images of the continuous-form paper, and a transporting control section configured to control the transporting section based on the transportation amount. The imaging element includes a valid pixel area including a plurality of pixels where electric charge can be accumulated in accordance with the light reflected on the continuous-form paper, and a shading area including a plurality of pixels where the reflected light can be shaded. The light applying section emits light within a duration of reading a pixel signal of the shading area."
9610499,"Game control server apparatus","A game control server apparatus includes an enhancement screen display processing unit that displays an enhancement screen for enhancing a game medium that appears in a game and that is provided with a predetermined parameter value, the enhancement screen including a predetermined number &#x201c;N&#x201d; (&#x201c;N&#x201d; is an integer that is two or more) of selection areas and an enhancement management unit that accepts a selection of a predetermined number n (n is an integer, where n&#x3c;N) of the selection areas among the selection areas of the enhancement screen, wherein the predetermined number &#x201c;N&#x201d; of the selection areas include a selection area associated with a parameter data component for varying a parameter value of the game medium and there is further a case that the predetermined number &#x201c;N&#x201d; of the selection areas include a selection area associated with a stopper for terminating the selection of the selection areas."
9613219,"Managing cross perimeter access","In some implementations, a method of managing access to resources in a single device including receiving, from a first resource assigned to a first perimeter, a request to access a second resource assigned to a second perimeter different from the first perimeter. The single device includes the first perimeter and the second perimeter. Whether access to the second resource is prohibited is determined based on a management policy for the first perimeter. The management policy defining one or more rules for accessing resources assigned to the second perimeter including the second resource."
9614837,"Systems and methods for verifying human interaction with a computer interface","Exemplary methods and systems for verifying human interaction with a computer interface are described herein. An exemplary method includes a human-interaction verification system detecting a request by an access device to access network-based content, providing, for display by the access device, a visually dynamic representation of one or more security images associated with a passcode in response to the access request, receiving, by way of the access device, challenge-response input associated with the visually dynamic representation of the one or more security images, and performing an access operation based at least in part on a comparison of the challenge-response input to the passcode."
9619235,"Compressing detected current and preceding instructions with the same operation code and operand patterns","A processor accesses memory storing a compressed instruction sequence that includes compression information indicating that an instruction that with respect to the preceding instruction, has identical operation code and operand continuity is compressed. The processor includes a fetcher that fetches a bit string from the memory and determines whether the bit string is a non-compressed instruction, where if so, transfers the given bit string and if not, transfers the compression information; and a decoder that upon receiving the non-compressed instruction, holds in a buffer, instruction code and an operand pattern of the non-compressed instruction and executes processing to set to an initial value, the value of an instruction counter that indicates a count of consecutive instructions having identical operation code and operand continuity, and upon receiving the compression information, restores the instruction code based on the instruction code held in the buffer, the instruction counter value, and the operand pattern."
9619599,"System for and method of checking joule heating of an integrated circuit design","A method of checking joule heating of an integrated circuit design, the method includes dividing the integrated circuit design into a plurality of windows, determining a power index of each window, adjusting the specification current value associated with each of the corresponding windows, and generating a current violation report, by a processor, of the integrated circuit. Each window includes one or more circuit elements. Each circuit element is associated with a corresponding current value. Each window is associated with a corresponding specification current value. Each power index is associated with a corresponding window. An amount of adjustment of the specification current value is a function of the power index of each corresponding window. The current violation report includes one or more entries. Each entry is associated with at least a corresponding window and one or more corresponding current values which exceed the corresponding adjusted specification current value."
9620182,"Pulse mechanism for memory circuit interruption","In a memory system where multiple memory chips communicate their ready/busy status on a shared bus line, a pulse mechanism is used for the individual memory chips to indicate their ready/busy status to the controller. In one example, the controller assigns pulse durations of differing lengths to the memory dies to allow the controller to distinguish between them. Techniques for dealing with bus collisions between the pulses of different chips are also described."
9626486,"Patient health care network guided encounter","In an environment where it is beneficial for chronic health care patients to receive individualized attention on a daily basis, a health care network (<b>10</b>) is provided. Each patient receives a user interface device (<b>12</b>) such as a set top box for accessing the network (<b>10</b>). Based on the patient's health care history, a nurse or other health care professional interfaces with a server (<b>22</b>) and constructs a care plan specific to that patient by filling out appropriate sections of a care plan template. An itinerary arrangement processor (<b>32</b>) organizes content gleaned from the patient's care plan and constructs a serially arranged itinerary for the patient to experience each day. The patient logs on to the network (<b>10</b>) and is immediately presented with the day's itinerary, without having to navigate any menus. Resultantly, the patient will have an easier experience, and will not miss any material."
